Song,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence,ratings
Gone My Way - KhoMha Remix,08Hghm2hJpCxJux9YuhCG0,0.00129,0.547,168750,0.895,0.107,5,0.288,-7.081,0.0683,128.022,0.0353,0
The Discovery,5NKK0t7lYlyDsT5auDYKmq,0.827,0.414,193000,0.127,0.822,0,0.0919,-22.097,0.0383,130.021,0.0354,0
Waiting like the Storm,1CIIzFfELXMwLyKaGdpTul,0.946,0.162,257625,0.0564,0.889,5,0.101,-20.696,0.0341,60.01,0.0361,0
Limitless,5QGNwI8U3o9mQg7RR3yOPj,0.404,0.238,165685,0.191,0.888,7,0.107,-20.242,0.0351,140.282,0.0365,0
Cleansing,6u1ymcw9MTK9mPGy8XdvEb,0.956,0.18,304217,0.0754,0.926,9,0.11,-26.645,0.0346,71.675,0.0366,0
Son of a Lady,1mc5ECVjhFQUMzdsvX9gwf,0.895,0.272,225233,0.337,0.713,9,0.0764,-13.724,0.0338,93.64,0.0374,0
Willet,6UesrqZXshkMjY07kVnlkU,0.967,0.425,179610,0.168,0.818,0,0.16,-14.064,0.0322,90.076,0.0376,0
Wild Trails,2urxHALnoeVxG82o57q0ny,0.742,0.213,218501,0.233,0.881,4,0.149,-14.347,0.0289,94.94,0.0378,0
This Reminds You - Satie Remix,7sJm369JitaQLnkymEMe7f,0.87,0.258,321146,0.0589,0.898,5,0.148,-23.782,0.0381,98.874,0.0378,0
Light Year,1C2JiKNMjv8FaZlrgwObBJ,0.99,0.301,234000,0.189,0.893,9,0.106,-16.072,0.0351,139.894,0.0379,0
Whitehaven,2WuNoTD5hLhu1yVgMarTFq,0.983,0.498,219000,0.18,0.928,4,0.0924,-19.819,0.0426,77.407,0.038,0
Balloon,6a9DN96EWRc56Lwl5YD7KL,0.987,0.408,143212,0.00518,0.929,5,0.12,-29.142,0.0355,72.291,0.0381,0
It's My Fault,3QP17SZh39ZVczQnopq9BE,0.815,0.647,195986,0.235,1.78E-05,8,0.233,-10.123,0.0389,129.85,0.0382,0
Path to Serenity,6FI69Qkt6C2yBTVLC8zq34,0.961,0.134,214277,0.0601,0.869,7,0.109,-19.866,0.0352,73.855,0.0388,0
Water Lillies,1sVIrkPZob1Ul6aIqy8n8z,0.848,0.234,228000,0.226,0.942,0,0.111,-15.991,0.0368,139.921,0.0388,0
London Thunder,4gkoh2vAD57fGEITzteaUh,0.641,0.489,254426,0.357,0.333,6,0.0838,-9.745,0.0259,92.009,0.0388,0
I Don't Trust That Bird of Prey,33gVbwdqw7aRX0Y2zM7qm3,0.605,0.52,210500,0.305,0.899,7,0.16,-14.38,0.0322,120.109,0.0389,0
Play The Ghost,0nL2bTth1UVQHWDDumMm3f,0.911,0.118,301291,0.0567,0.879,11,0.106,-19.274,0.0427,83.721,0.0391,0
Like We Do,1Qf07UNBIu1XolBnl7XTi8,0.0125,0.614,161992,0.96,0.687,2,0.366,-5.081,0.0465,128.019,0.0392,0
Klangfall - Piano Version,4pWowM3xMkRYgHsIJDf61f,0.993,0.394,353007,0.0807,0.944,0,0.0964,-25.987,0.0318,124.904,0.0394,0
Eden - Hunted Version,5zfsg3FNA03fCUZzW2a9Fr,0.965,0.158,257815,0.0963,0.105,0,0.0752,-18.225,0.0398,71.012,0.0395,0
Adagio For Strings,1RvDsjCBDTES3lPiEGNNMY,0.000877,0.349,197189,0.793,0.431,10,0.22,-6.748,0.0677,127.139,0.0398,0
Revitalize,1sPC2IR2UwzYUrItFRE1H3,0.95,0.597,198545,0.327,0.96,9,0.0966,-15.743,0.0342,109.99,0.0399,0
the frost,7l4b5JYnl1WwUfvJgKmUwr,0.956,0.259,254440,0.259,0.942,3,0.0923,-18.89,0.0594,123.693,0.0403,0
Mercy - Live,4BntWROKZB5E0Y0K3LoHSQ,0.916,0.211,326146,0.0838,0.41,10,0.102,-20.882,0.0398,90.249,0.0404,0
Glaciers,2No1A7ZuMaBGxz45jmA9Gw,0.733,0.0789,176373,0.16,0.786,7,0.0943,-18.144,0.0362,56.449,0.0409,0
Prelude 6 - Pt. 1,2R7BzSG2pPB99uJbU3lLmK,0.992,0.134,161266,0.0407,0.794,10,0.117,-31.537,0.0426,217.95,0.043,0
Den inre skogen,0Zl6KnmirT1PeGZvAZY9T1,0.924,0.532,229657,0.382,0.61,9,0.134,-17.683,0.0543,127.038,0.0455,0
The Dreamer,3XnQ3OqmfvP5Sh6gACEKnG,0.983,0.235,178148,0.0363,0.92,0,0.0823,-18.9,0.0335,160.704,0.0481,0
Kaolnite,4fItBSHKBcgKWixN1Idie5,0.622,0.247,180689,0.231,0.87,1,0.0878,-19.639,0.0328,174.014,0.0485,0
Adrift,3TNNGjgOQ7O8vwAlvlD9Fg,0.497,0.382,158117,0.333,0.918,7,0.106,-15.573,0.0367,84.974,0.0486,0
Kangaroo (Remastered),1HdIqEOl9MxoJNsz33VOvW,0.768,0.19,209093,0.167,0.164,3,0.126,-11.298,0.0291,169.636,0.0491,0
Cold Arms,7kpZ9isu48poYKpaAb0wiR,0.815,0.431,169906,0.144,1.10E-06,11,0.124,-12.07,0.039,137.683,0.0491,0
Morning Shimmer,24PDuLZfLOKtAgh4axr36e,0.58,0.449,218880,0.163,0.908,11,0.114,-16.409,0.0361,125.088,0.0501,0
Focus,3DZ7DFolE5U2xEGIzFjeGo,0.238,0.273,190526,0.161,0.481,4,0.133,-17.727,0.053,113.89,0.0503,0
Clear Skies,7bKMZYXVYzGMvnHiRDCmjy,0.94,0.421,162085,0.136,0.89,11,0.113,-23.521,0.0305,110.036,0.0505,0
City Lights,5OxyHotdy7y789r3UQcHAB,0.983,0.341,226266,0.0582,0.924,8,0.097,-23.103,0.0472,83.05,0.0514,0
No Time To Die,73SpzrcaHk0RQPFP73vqVR,0.917,0.38,242265,0.219,0.0104,4,0.0827,-13.273,0.0358,73.537,0.0517,0
Wave of Mutilation,1BEljQOZPNNjsC3nfIAHxS,0.842,0.481,149635,0.229,0.00205,6,0.105,-13.5,0.0342,92.014,0.0525,0
Hypnagogia Well,2jpL7mFOMzRnbaSj790BfQ,0.771,0.545,222000,0.253,0.922,2,0.108,-17.953,0.033,115.848,0.0529,0
Intermezzo No. 1 in E Minor,1HTYYXCKpMWiHRd7qIb6ui,0.995,0.31,174013,0.0987,0.86,4,0.714,-25.408,0.0444,106.205,0.0558,0
Event Horizon,7lSHfDPdyGdRyG234h5ToK,0.0665,0.464,310666,0.38,0.898,7,0.114,-8.052,0.0279,100.006,0.0558,0
Collapse Into Light,3jP962JoLAn9p4wCDdx4My,0.933,0.305,179500,0.229,0.904,1,0.104,-18.329,0.0334,121.599,0.0562,0
Mil Sonidos,11oVQ68B4PnVQHIY6svpXg,0.958,0.221,192000,0.183,0.821,6,0.102,-17.59,0.0362,117.321,0.057,0
Bloodbuzz Ohio,2pfkaHd8arhESSxyJAou6g,0.715,0.441,279967,0.268,1.49E-06,6,0.11,-8.173,0.0308,140.073,0.057,0
Jupiter 4,64BirkPW9F4XgzoLAiOBCP,0.0168,0.475,314080,0.498,0.492,10,0.137,-10.609,0.0303,88.882,0.0592,0
Falling,1ZMiCix7XSAbfAJlEZWMCp,0.839,0.567,240133,0.267,1.46E-06,4,0.089,-6.502,0.0299,110.011,0.0592,0
River,2mXnsGgq0K4qfcYmw0rccK,0.73,0.304,276960,0.317,0.00519,11,0.118,-10.52,0.0285,147.83,0.0596,0
Tomorrow,6TcYEIp0uV6lxkmt4FCqf5,0.964,0.325,208520,0.0809,0.839,5,0.118,-24.493,0.0527,178.307,0.0604,0
You Were Bored,5BIWF6L3DnPkcuEuZmLHDz,0.781,0.291,263080,0.419,0.00433,6,0.113,-10.33,0.0305,114.935,0.0613,0
Rebuscano,55VX26X342cWBM7akigws7,0.99,0.416,173319,0.0322,0.929,2,0.101,-29.145,0.0451,120.321,0.0614,0
"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",7ANhXB1OJBaTb7kDoAJRLq,0.995,0.566,159866,0.00792,0.909,3,0.0874,-34.484,0.0445,61.167,0.0621,0
Out of the Deep,6HrPFcVFz9wTBqqIrpJ8iB,0.992,0.2,193207,0.0212,0.903,0,0.0929,-32.285,0.0499,74.852,0.0631,0
Presence,02QoKc20zzH9A8mf25NfPq,0.966,0.616,125500,0.292,0.927,2,0.0955,-16.837,0.0423,127.008,0.0633,0
Solitude,21UkknmSYISvDaQbaMIOgq,0.995,0.342,225829,0.0311,0.92,9,0.131,-26.999,0.0355,97.622,0.0634,0
Panoramic Feelings (Piano Version),3hxqWxFfmbIYcrV0e7wSyL,0.991,0.25,230284,0.00846,0.896,8,0.0853,-24.348,0.0373,78.552,0.0638,0
Conversation,4THgqBGsTYJcNcQWCV92AP,0.901,0.242,229560,0.137,0.0105,2,0.167,-16.332,0.0322,92.454,0.0644,0
Monumental,6CKu6K0xvozAgFlQq44Z56,0.916,0.491,195057,0.217,0.962,4,0.177,-6.805,0.0521,99.97,0.0647,0
Day 5: For Carol,3JjeC1epY5y2Jysxn5FVCB,0.765,0.485,394862,0.497,0.886,2,0.132,-10.022,0.0308,100.857,0.065,0
Auburn Sky,42BtxDRqFTbE6Jb6rd9QOZ,0.906,0.265,162829,0.035,0.89,4,0.0932,-26.502,0.0359,132.972,0.0651,0
Wait For Me,6laq4MxNrh2ZKZGLhB7G0V,0.00987,0.465,217142,0.739,1.88E-06,10,0.373,-7.786,0.0648,125.994,0.0652,0
Make Believe,56oqWZUaA8ZmHQCH3lCRI3,0.03,0.587,194531,0.882,0.116,0,0.195,-5.838,0.0427,127.97,0.0653,0
What Should Have Been,0joCizO7Hg4JxL3o9mRAKA,0.994,0.322,152157,0.149,0.92,2,0.122,-17.948,0.0515,114.695,0.0655,0
Water Colors,7rpGOF9MwCP2Oaz9yDO452,0.633,0.465,182079,0.12,0.937,7,0.085,-19.328,0.0386,72.021,0.0659,0
Empty Street at Night,6CY6TBcuh13KEk34pMnZA8,0.903,0.211,307000,0.0147,0.935,2,0.342,-22.964,0.0456,169.899,0.0667,0
Schloss,07EmFV0AOKNsbtNonzmMJj,0.968,0.438,222093,0.073,0.755,1,0.0935,-21.944,0.0411,79.973,0.0668,0
Lost,7nC2EOpMnpDT2DkvniimSm,0.972,0.389,161520,0.1,0.934,10,0.113,-22.464,0.0358,133.839,0.0676,0
What You Love You Must Love Now,3L0fPX8biELkH57fF3Exkd,0.367,0.256,322160,0.456,0.881,4,0.119,-10.865,0.0306,70.357,0.0682,0
0 Wilderness,44Co96UhNfnq258r2VybLE,0.886,0.186,231723,0.271,0.961,7,0.141,-17.149,0.0449,115.896,0.0684,0
Tiptoeing,28nLvoHu6NbkHNPmoxR8uD,0.986,0.467,120536,0.137,0.928,0,0.101,-23.087,0.043,118.715,0.0687,0
Takeoff,4iKSrwTBu0vLSqmZUXSGXr,0.625,0.44,194666,0.32,0.886,4,0.0823,-12.011,0.0323,180.036,0.0694,0
On Another Ocean (January / June),2fgMzSoDaPrU4EYsrkAwVn,0.155,0.284,263373,0.523,0.0934,7,0.0933,-6.512,0.0285,100.597,0.0697,0
mellow,1yJXNOEP2bq1N1691n37oS,0.985,0.609,144434,0.157,0.792,0,0.112,-15.792,0.0322,111.966,0.0698,0
Fête sous les étoiles,55ux9bDGw3qTVfad3PxSTq,0.994,0.312,184000,0.00811,0.961,1,0.1,-30.381,0.0389,115.486,0.0703,0
Tuesday,2GuchYit1FmdtXTxl6SbUE,0.99,0.323,191293,0.0214,0.902,4,0.0891,-30.328,0.0384,104.033,0.0703,0
Dew Drops,0NnFglDnuZH6qKuvhZpB0r,0.939,0.27,335636,0.0384,0.936,11,0.1,-24.513,0.0361,59.81,0.0708,0
I dine øjne,07htwTiSZVnQfdl38siCIn,0.762,0.67,297249,0.417,0.0214,8,0.104,-12.553,0.0404,121.13,0.0708,0
Halfway There (feat. Lena Leon),3EKKIR8be1kfAAwaz1fzyS,0.000753,0.59,195000,0.888,0.00535,0,0.817,-4.151,0.0797,128.025,0.0715,0
Desire Lines,63JP68VirmCXtWRoMTX8Xi,0.000169,0.379,459506,0.652,0.0043,9,0.077,-5.406,0.0325,121.035,0.0724,0
Tu Vois,5ewE85NIsYxn02MhetYKqs,0.995,0.351,495880,0.0077,0.919,9,0.0803,-23.17,0.0543,75.742,0.0728,0
To Build A Home,54KFQB6N4pn926IUUYZGzK,0.885,0.264,371320,0.122,0.349,9,0.094,-15.399,0.0349,148.658,0.0735,0
Raven's Feather - Piano Solo,7sBlA4bK7gpf2H42K6Y0H3,0.988,0.594,256259,0.0624,0.928,10,0.109,-19.409,0.0472,123.999,0.0738,0
De Fléche,5vymVJ2WUlLnMeQqrgwQx8,0.668,0.435,233062,0.333,0.834,8,0.084,-15.885,0.0308,90.902,0.074,0
Reality,3sqyZAk7dUY3U4ApoJcRzJ,0.000934,0.651,213750,0.836,0.932,6,0.112,-6.154,0.0588,127.986,0.0741,0
Bad Kingdom,7vCuaxRIKElwgjSAo5REkw,0.934,0.401,193220,0.199,0.0064,9,0.112,-14.409,0.0355,118.351,0.0744,0
Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,0TEW7oRDKD2mjJQH507ni4,0.000312,0.532,364743,0.664,0.0427,1,0.303,-9.804,0.0603,128.973,0.075,0
Used to Be,0p44zFo2S1c50vmx0B7mPF,0.989,0.201,265641,0.0394,0.839,10,0.0881,-21.798,0.0334,73.742,0.0754,0
Crossing,08Q4GyxnB8ak1ZwHnjwova,0.935,0.542,153103,0.189,0.91,0,0.0932,-16.57,0.0398,116,0.0755,0
People Are Strange - Festival Mix,5b61rcrjF6JG7yq0RRaOLh,0.00222,0.636,195468,0.912,0.0269,11,0.598,-5.671,0.091,127.963,0.0765,0
Surrender,0ecC8p17cDNlxHXkuYqeR6,0.8,0.39,183103,0.448,0.182,5,0.107,-8.57,0.0276,144.89,0.077,0
Drifting,157kvk58Qr04AiuDv2aQWd,0.71,0.616,194571,0.202,0.678,11,0.0871,-14.144,0.0383,139.857,0.0773,0
Yam Yam,1j56M8iOGH48yuKqj64qGK,0.319,0.445,216038,0.591,0.766,7,0.107,-9.004,0.0316,137.864,0.0774,0
Some Kind Of Love,0vicQm86o7GnT42GdG34sA,0.713,0.246,278093,0.482,0.226,8,0.102,-9.949,0.0359,141.863,0.0776,0
"Song to the Siren - Recorded at Strongroom Studios, London",0hx6wJdPlMpT254F9UYQNu,0.963,0.371,211159,0.15,0,2,0.124,-11.116,0.0294,68.774,0.0785,0
The Five Times I Loved You,0W4RUo3m0jL0wHADS0PLme,0.988,0.41,205695,0.0845,0.93,4,0.109,-21.814,0.0327,92.033,0.0795,0
Misty Mornings,5FXnCOAkMUAf4QIS56MRQL,0.981,0.522,225700,0.0781,0.927,10,0.361,-24.89,0.0424,107.038,0.0796,0
Malibu,3RlwtjeKhemCfiPvwMFozS,0.977,0.435,150405,0.154,0.85,6,0.0728,-21.451,0.0367,148.1,0.0799,0
you broke me first,45bE4HXI0AwGZXfZtMp8JR,0.786,0.642,169265,0.374,0,4,0.0906,-9.386,0.0545,124.099,0.0799,0
æfre,2irbT1BSYaIEF44PlyKaoM,0.994,0.377,186331,0.0156,0.881,0,0.0991,-28.435,0.0397,140.179,0.0804,0
Goya,2bo6ZMPnFkWCd0VRTMwbcs,0.994,0.365,235813,0.00656,0.888,8,0.119,-21.678,0.0427,68.17,0.0809,0
The Night We Met - Rework,6lUDMNgZEaXVprnVgoprfT,0.992,0.506,177322,0.0434,0.866,9,0.123,-19.948,0.0442,110.723,0.0823,0
Waiting,7eClkLWbrr3TorYedzaDkI,0.975,0.236,184320,0.33,0.126,8,0.116,-10.085,0.0325,86.546,0.0827,0
Placidity,1XtkmIXg2o5SqOrNI8Szvk,0.474,0.261,165268,0.25,0.893,7,0.0882,-18.526,0.0339,153.045,0.0827,0
Stay Still,12nlJypOUmAV4VQxFvfAw1,0.987,0.382,283506,0.0305,0.783,11,0.0921,-26.271,0.0574,72.398,0.0835,0
Floating Sunbeams,7hJZMJqFRlypzSlxC7Kn8n,0.98,0.205,159292,0.202,0.85,1,0.128,-15.952,0.0427,113.057,0.086,0
To The Hilt,41bqxcnDRcYsBJnJKtPCdp,0.948,0.327,276746,0.101,0,8,0.0945,-13.949,0.0525,171.734,0.0866,0
Open Skies,5bATh5zpKb6uauocsl0XRM,0.00104,0.56,154863,0.559,0.812,0,0.123,-7.807,0.0274,133.044,0.0869,0
Unmade,4rXDPFpzMyUIdEpNWiwzYV,0.974,0.186,267454,0.3,0.924,9,0.0672,-12.141,0.0368,96.563,0.0877,0
3ness,2aoxz8c3bHyDrZBhTKnTXh,0.991,0.35,453804,0.0706,0.931,5,0.1,-24.271,0.0441,102.507,0.0877,0
Curious Morning,5lZyYNi8OfFWKiX1p9zDQP,0.969,0.391,182222,0.231,0.954,3,0.116,-17,0.0363,107.981,0.0882,0
alpha waves,5ZCW5CDwhfXJGL2MzxGwhx,0.795,0.561,205127,0.314,0.876,4,0.115,-16.989,0.0281,95.931,0.0883,0
In This Moment,7FORBAxm1qwuwbYo7Rtz42,0.771,0.479,158666,0.221,0.856,6,0.101,-19.689,0.0325,115.965,0.089,0
Montana,1EyctTkkGJVS3UYTuy8YZM,0.913,0.435,133645,0.0595,0.882,2,0.104,-17.456,0.0435,115.929,0.0898,0
Chariot,6dB3Uad2TOaJcGKpM3zizO,0.663,0.374,316507,0.426,0.607,10,0.0886,-7.395,0.0315,102.174,0.0902,0
Infinite Sustain,5AciiCKJKTLKRrAPSrKQy5,0.8,0.529,149000,0.214,0.907,6,0.109,-19.268,0.0315,124.069,0.0903,0
Minus,5Z8onMr6EW2eNDamrDoWi5,0.501,0.244,342493,0.254,0.0458,7,0.105,-12.966,0.0296,81.049,0.0909,0
Send It,2GXOmuU3kApsq2TWqOU5Bm,0.0199,0.646,182671,0.979,0.776,4,0.38,-5.312,0.101,124.066,0.091,0
Bayybe 07,08qO8i2K0Hxl0h8PIncyuH,0.827,0.44,114195,0.384,0.934,7,0.156,-12.331,0.0453,127.938,0.0912,0
The Snail’s Teachings II: The Wonders of,2plPRo1J2A2erccAh1eJMB,0.944,0.334,198250,0.00961,0.901,5,0.105,-27.24,0.0416,68.153,0.0916,0
Long Way Down,1uVk6S6Fpkrmji0iTpgKEC,0.972,0.367,149773,0.121,0.0322,6,0.0871,-13.778,0.0335,132.244,0.0926,0
Only,0yfd3MSq6JEsNxOzSLJR7g,0.906,0.373,268455,0.178,0.558,7,0.109,-15.52,0.0303,108.605,0.0933,0
Dive,5TvkWUGywzfVF5HQ9uySVF,0.0418,0.434,255384,0.531,0.00021,2,0.0941,-10.05,0.0305,156.155,0.0935,0
Jealous,4L2K7JKseFCBoHMZEAszW0,0.873,0.435,287693,0.155,0,1,0.107,-8.948,0.046,128.532,0.0935,0
Be My Mistake,0AG2l0IboWNSwjUkMr2Aq7,0.835,0.572,256688,0.155,0.000137,6,0.0906,-14.405,0.0344,109.923,0.0949,0
Movies,4ZYFWXoHCIdsdgUdOMK9fr,0.646,0.0903,353732,0.362,0.402,7,0.106,-8.929,0.0337,74.729,0.0964,0
I'm Your Man,5FRWe0PkPj4CQ4fvibzTEh,0.475,0.429,268655,0.356,0.481,0,0.125,-7.615,0.0282,139.915,0.0965,0
Coda,2TFQPFUqRtgj1auq9b5PlR,0.93,0.351,180614,0.24,0.904,9,0.101,-15.363,0.034,79.919,0.0968,0
Bison on the Plains,0e0hVla9NkILk2JWOwVCMW,0.285,0.476,308800,0.522,0.0127,9,0.193,-8.159,0.0281,133.874,0.0973,0
The Night We Met,6mORGLOz79w6VsCRLWYYuK,0.969,0.443,208211,0.369,0.277,9,0.638,-9.514,0.0441,174.107,0.0989,0
Skinny Love,1NyFRrFiJAJIaR6icj1goI,0.842,0.592,238532,0.256,2.38E-06,4,0.088,-14.031,0.0449,76.361,0.103,0
Breathe,5q2hzGmdBeXEWuMOlOMOt2,0.99,0.612,166194,0.037,0.947,11,0.108,-18.855,0.0408,113.008,0.103,0
Creep,1ytTeSRAU6IRo2itVDwtPv,0.0102,0.515,238640,0.43,0.000141,7,0.129,-9.935,0.0369,91.841,0.104,0
Slow It Down,0ewX9JsKy9oa4IifkFSroa,0.928,0.423,305346,0.0657,1.40E-06,1,0.0922,-14.421,0.0386,98.489,0.105,0
Understudy,0Y41ZfnVaNRQp9dQiagwbC,0.983,0.494,163875,0.263,0.92,0,0.0746,-16.818,0.0325,159.875,0.105,0
Coming Home,30ACOtgBj1PqZs1erzFZkU,0.854,0.198,172818,0.139,0.856,5,0.0773,-18.72,0.031,82.405,0.106,0
"Quiet, The Winter Harbor",1OArWxrw689jZXaJzSErbh,0.973,0.321,255358,0.0792,0.104,5,0.0888,-17.737,0.0329,145.293,0.106,0
Goshen,5rLZGAZOstOC3fqhmGChvK,0.848,0.284,200146,0.262,0.00483,11,0.0966,-9.869,0.028,98.66,0.107,0
Silver Lining,4w7vMUyVony198G1c79PSq,0.986,0.317,225839,0.106,0.899,1,0.111,-20.574,0.0302,78.66,0.108,0
Awaken,00ZtJgQax06A96l8sMcmlB,0.929,0.346,129936,0.0943,0.918,2,0.102,-13.632,0.0362,127.006,0.109,0
Bortom Träden,4CFlaEtdgeu4mFmnUApAyl,0.801,0.446,260564,0.0586,0.85,8,0.0876,-26.416,0.0416,124.019,0.111,0
Anchor,6x6XKEUcCJGUACD4Xh7KuP,0.755,0.486,256282,0.356,0.861,9,0.0986,-13.649,0.0318,117.141,0.111,0
Just Look at You,62X7ld1sa8RHl4zRtSvfHf,0.985,0.558,187385,0.249,0.925,7,0.103,-14.715,0.0303,94.991,0.111,0
Ingénue,6mgKP4yo57GTSMc3fJlyWm,0.993,0.283,158176,0.122,0.905,9,0.0927,-23.074,0.0285,83.746,0.112,0
Back+,6MrVWgw16iHBGRntjRkGQq,0.993,0.383,198746,0.0197,0.944,7,0.121,-28.192,0.0528,67.555,0.113,0
Planet,1gIZhNdfbkGJ2iyOZJmW9O,0.988,0.549,151400,0.0604,0.869,6,0.111,-23.059,0.0332,113.98,0.113,0
When You Left,1uu52K2fxY7Hl4LQ8AtTyY,0.984,0.56,177224,0.0853,0.918,5,0.108,-15.918,0.0324,96.646,0.113,0
Bouquet with Lilies,1j45uvYWACNGDZ0jmKSTuP,0.716,0.621,216607,0.345,0.921,0,0.091,-12.106,0.0295,117.683,0.113,0
Someday,5zOetBDO9NONS4KnIBXtnx,0.265,0.572,288040,0.571,0.917,8,0.109,-10.067,0.0331,96.986,0.115,0
9 Crimes,5GZEeowhvSieFDiR8fQ2im,0.913,0.346,217946,0.139,7.73E-05,0,0.0934,-15.326,0.0321,136.168,0.116,0
Never Letting Go,5llPdGZJjJFJv9aL6ZaiLY,0.0915,0.534,172519,0.765,0.00107,1,0.225,-3.151,0.0338,127.978,0.117,0
Bird,6DzvC1VHpyTFfLBbAYBa7W,0.988,0.235,220640,0.187,0.00197,6,0.106,-12.754,0.0347,85.962,0.118,0
Prelude,1QmdL4qnNkm8FDuseRMf21,0.996,0.306,223500,0.0846,0.901,1,0.0909,-27.607,0.0535,164.732,0.118,0
Angry Chair,6H0wgcQCOuLYqDuNhMW8KL,0.0642,0.313,288400,0.973,1.22E-06,8,0.0581,-3.855,0.109,107.3,0.118,0
The Funeral,4Ao5JXfOIMJGlVo8sJpjFr,0.0143,0.316,321146,0.769,0,0,0.0928,-5.285,0.0422,122.458,0.118,0
Anaviosi,4OWZLr2sLv7ueKPHV7JRNP,0.995,0.391,174244,0.0121,0.946,1,0.0959,-24.588,0.0852,68.128,0.118,0
Remains,288oxP29Qe5FikFIc1b1Gd,0.991,0.157,228622,0.0755,0.897,7,0.184,-23.545,0.051,71.23,0.119,0
Hoovela,1dssHOp3HpaK9o5c0CL7xU,0.00123,0.341,207295,0.989,0.822,4,0.4,-3.828,0.111,103.48,0.119,0
Melancholé,3SdkYA8frHe3BMZsPVPrRq,0.996,0.369,149647,0.0283,0.941,2,0.101,-25.76,0.0399,83.391,0.119,0
North,3AtuVA6OJB7ZxBbMfA5qYx,0.994,0.522,126480,0.0155,0.927,10,0.0949,-28.022,0.0441,91.764,0.119,0
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.934,0.351,200185,0.296,0,4,0.095,-10.109,0.0333,115.284,0.12,0
Wild Wild Son - Club Mix,2Fgo49RzWsVWKcwAksPWq8,0.00138,0.526,218200,0.867,0.00064,5,0.0975,-4.332,0.0659,132.106,0.12,0
Eagle,7uI4m3uAKy2WWH1mJZAYzO,0.937,0.339,226400,0.142,0.91,10,0.0847,-21.613,0.0416,109.98,0.121,0
Tegel,5Vh9sUjTiivWtvKmif40wy,0.993,0.233,151764,0.0997,0.937,1,0.105,-25.616,0.0456,84.309,0.123,0
Los Feliz,0efOqjQkOgWPEZTzAZSB6j,0.197,0.575,166927,0.373,0.898,11,0.0753,-11.642,0.0279,74.975,0.123,0
Underwater - Tinlicker Remix,7ku9ctunOcfqWP6z04QTRY,0.0607,0.627,239894,0.857,0.835,7,0.132,-8.253,0.0402,121.976,0.124,0
Vague,3IOXceWmoCrTyl5TXFDzWu,0.881,0.32,143000,0.253,0.935,10,0.121,-17.843,0.0356,140.029,0.125,0
Feels Like We're Dying,0IvaKmBYBLVcdP0Ft8Dwik,0.73,0.579,185250,0.411,0.8,6,0.0945,-13.068,0.0329,79.988,0.125,0
Night Surrender,0kox8HaEK0EfeWcNVTOKTy,0.993,0.211,193653,0.00977,0.891,1,0.0996,-25.787,0.0396,175.397,0.13,0
Supersonic (feat. Christian Burns),2d0UsAbvuAiCyR4oV6fiOq,0.00814,0.34,245783,0.923,0.000829,0,0.385,-3.864,0.131,127.789,0.13,0
Night,7D04SRPxcqHXjoK0YFPuAq,0.995,0.428,192941,0.00129,0.955,0,0.0913,-32.837,0.0753,67.645,0.13,0
Fleur février,16A82OAjqWawjDM8K5HCdm,0.985,0.428,253904,0.0517,0.945,3,0.11,-21.74,0.0548,111.311,0.13,0
From Yesterday,4ogyT8HqLV6IdCepscSkh3,0.00578,0.467,245933,0.876,0.00592,10,0.0453,-4.841,0.0693,135.055,0.131,0
